   3,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_005.png', cX= 365, cY=1272, Frame=   181
   4,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_005.png', cX= 387, cY= 471, Frame=   181
   2,   25, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_002\Image_025.png', cX=1088, cY= 601, Frame=   182
   3,    6, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_006.png', cX= 402, cY=1272, Frame=   182
   4,    6, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_006.png', cX= 425, cY= 469, Frame=   182
   2,   26, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_002\Image_026.png', cX=1124, cY= 599, Frame=   183
   3,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_007.png', cX= 438, cY=1272, Frame=   183
   4,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_007.png', cX= 462, cY= 466, Frame=   183
   2,   27, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_002\Image_027.png', cX=1160, cY= 597, Frame=   184
   3,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_008.png', cX= 474, cY=1273, Frame=   184
   4,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_008.png', cX= 499, cY= 465, Frame=   184
   2,   28, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_002\Image_028.png', cX=1193, cY= 599, Frame=   185
   3,    9, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_009.png', cX= 508, cY=1273, Frame=   185
   4,    9, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_009.png', cX= 538, cY= 464, Frame=   185
   3,   10, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_010.png', cX= 543, cY=1273, Frame=   186
   4,   10, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_010.png', cX= 574, cY= 463, Frame=   186
   3,   11, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_011.png', cX= 578, cY=1273, Frame=   187
   4,   11, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_011.png', cX= 613, cY= 465, Frame=   187
   3,   12, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_012.png', cX= 612, cY=1275, Frame=   188
   4,   12, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_012.png', cX= 653, cY= 466, Frame=   188
   3,   13, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_013.png', cX= 645, cY=1274, Frame=   189
   4,   13, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_013.png', cX= 684, cY= 463, Frame=   189
   3,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_014.png', cX= 678, cY=1272, Frame=   190
   4,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_014.png', cX= 719, cY= 461, Frame=   190
